"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Eaton M.; Silva C.P.D.A.","Eaton, Martin (7102612728); Silva, Carlos Pereira D.A. (7201387323)","7102612728; 7201387323","Portuguese child labour: Manufacturing for change or continuing exploitation in the textiles industry?","1998","Childhood","5","3","","325","343","18","6","10.1177/0907568298005003006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-3042933642&doi=10.1177%2f0907568298005003006&partnerID=40&md5=0c0d26ae2cdb288833cf3a212c2dfed4","Article","Final","","Scopus","2-s2.0-3042933642"
"Schütze F.","Schütze, Fritz (56023683900)","56023683900","Hülya's migration to Germany as self-sacrifice undergone and suffered in love for her parents, and her later biographical individualization. Biographical problems and biographical work of marginalisation and individualisation of a young Turkish woman in Germany. Part I","2003","Forum Qualitative Sozialforschung","4","3","","","","","18","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-3342892845&partnerID=40&md5=c024f62f7f50aa3765d58db4da6d589d","Article","Final","","Scopus","2-s2.0-3342892845"
"Meyer G.","Meyer, G. (7402851399)","7402851399","Manufacturing in the old quarters of central Cairo","1988","Urbanisation du Monde Arabe","19","","","75","90","15","5","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0024147803&partnerID=40&md5=fc91858cfd6d248bb7ff01fcb0966cc9","Article","Final","","Scopus","2-s2.0-0024147803"
"Parker D.L.; Merchant D.; Munshi K.","Parker, David L. (7403381898); Merchant, Deborah (57520849500); Munshi, Kaizad (57213043722)","7403381898; 57520849500; 57213043722","Adolescent work patterns and work-related injury incidence in rural Minnesota","2002","American Journal of Industrial Medicine","42","2","","134","141","7","12","10.1002/ajim.10094","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036326586&doi=10.1002%2fajim.10094&partnerID=40&md5=72ebfec370231dd59dc7eca923e08552","Article","Final","","Scopus","2-s2.0-0036326586"
"Mathews R.; Reis C.; Iacopino V.","Mathews, Rahel (58424249400); Reis, Chen (7103110995); Iacopino, Vincent (25122497300)","58424249400; 7103110995; 25122497300","Child labor: A matter of health and human rights","2003","Journal of Ambulatory Care Management","26","2","","181","182","1","18","10.1097/00004479-200304000-00010","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0037238530&doi=10.1097%2f00004479-200304000-00010&partnerID=40&md5=b3db053367b567d5f4054ee5d033f06a","Review","Final","","Scopus","2-s2.0-0037238530"
"Muligo T.","Muligo, T. (7801654890)","7801654890","Observations on the principal aspects of employment in Rwanda; [Apercu sur les principaux aspects de l'emploi au Rwanda.]","1992","Imbonezamuryango = Famille, sante, developpement / Republique rwandaise, Office national de la population (ONAPO)","","24","","13","19","6","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0026907507&partnerID=40&md5=8decf208d2b8ee3e1b4daccd3e9fb01c","Article","Final","","Scopus","2-s2.0-0026907507"
"Munshi K.; Parker D.L.; Bannerman-Thompson H.; Merchant D.","Munshi, Kaizad (57213043722); Parker, David L. (7403381898); Bannerman-Thompson, Hansen (6504242052); Merchant, Deborah (57520849500)","57213043722; 7403381898; 6504242052; 57520849500","Causes, nature, and outcomes of work-related injuries to adolescents working at farm and non-farm jobs in rural Minnesota","2002","American Journal of Industrial Medicine","42","2","","142","149","7","15","10.1002/ajim.10095","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036323639&doi=10.1002%2fajim.10095&partnerID=40&md5=164fd1f6f128914af2a0c88e87eb3a10","Article","Final","","Scopus","2-s2.0-0036323639"
"Redmount E.","Redmount, Esther (6507450869)","6507450869","Cyclical patterns in school attrition and attendance: A study in the labor-market behavior of children","2002","Economic Development and Cultural Change","51","1","","135","160","25","0","10.1086/344629","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036820433&doi=10.1086%2f344629&partnerID=40&md5=6178ca8e40a12b188404d1d77cd7bd68","Article","Final","","Scopus","2-s2.0-0036820433"
"Linder P.S.","Linder, P.S. (35112424900)","35112424900","""An immoral speculation"": Indian forced labor on the haciendas of Venezuela's Sur del Lago Zuliano, 1880-1936.","1999","Americas (Academy of American Franciscan History)","56","2","","191","220","29","1","10.2307/1008112","https://www.scopus.com/inward/record.uri?eid=2-s2.0-70350048706&doi=10.2307%2f1008112&partnerID=40&md5=ce8212ff2cf70aeddb1e7010422eeef7","Article","Final","","Scopus","2-s2.0-70350048706"
"Ulijaszek S.J.","Ulijaszek, Stanley J. (7005205807)","7005205807","Influence of birth interval and child labour on family energy requirements and dependency ratios in two traditional subsistence economies in africa","1993","Journal of Biosocial Science","25","1","","79","86","7","4","10.1017/S0021932000020320","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0027518335&doi=10.1017%2fS0021932000020320&partnerID=40&md5=673d3091f6b61aab24ad7c74911657f4","Article","Final","","Scopus","2-s2.0-0027518335"
"Graner E.","Graner, Elvira (7003852268)","7003852268","World economy and world society-discussing child labour in Nepalese carpet manufactories; [Weltwirtschaft und Weltgesellschaft Zur Diskussion über Kinderarbeit in Nepals Teppichmanufakturen]","2002","Geographische Rundschau","54","10","","18","23","5","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036795377&partnerID=40&md5=e21b62b3bded0d3c68514631796fb204","Article","Final","","Scopus","2-s2.0-0036795377"
"Mayer J.","Mayer, J. (14630751400)","14630751400","International labour standards and technical co-operation: the case of special public works programmes","1989","International Labour Review","128","2","","155","175","20","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0024525356&partnerID=40&md5=7ab44cb6bab3dd4cbe68ce16c9a26986","Article","Final","","Scopus","2-s2.0-0024525356"
"CLARK A.K.","CLARK, A. KIM (55547125017)","55547125017","Indians, the State and Law: Public Works and the Struggle to Control Labor in Liberal Ecuador","1994","Journal of Historical Sociology","7","1","","49","72","23","16","10.1111/j.1467-6443.1994.tb00062.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84993660873&doi=10.1111%2fj.1467-6443.1994.tb00062.x&partnerID=40&md5=c8602d83e65e4a43625bfbbfdd5f10ca","Article","Final","","Scopus","2-s2.0-84993660873"
"Suruda A.; Philips P.; Lillquist D.; Sesek R.","Suruda, Anthony (7004819880); Philips, Peter (7004573232); Lillquist, Dean (6602853701); Sesek, Richard (6508041496)","7004819880; 7004573232; 6602853701; 6508041496","Fatal Injuries to Teenage Construction Workers in the US","2003","American Journal of Industrial Medicine","44","5","","510","514","4","30","10.1002/ajim.10304","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0242710645&doi=10.1002%2fajim.10304&partnerID=40&md5=796680178e992bfe86808fa714688c11","Review","Final","","Scopus","2-s2.0-0242710645"
"Tzannatos Z.","Tzannatos, Zafiris (6603452451)","6603452451","Child labor and school enrollment in Thailand in the 1990s","2003","Economics of Education Review","22","5","","523","536","13","22","10.1016/S0272-7757(03)00041-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0041924973&doi=10.1016%2fS0272-7757%2803%2900041-4&partnerID=40&md5=346101a1dcdf925e7206c5e74de7a554","Article","Final","","Scopus","2-s2.0-0041924973"
"Moehling C.M.","Moehling, Carolyn M. (6507229806)","6507229806","State Child Labor Laws and the Decline of Child Labor","1999","Explorations in Economic History","36","1","","72","106","34","103","10.1006/exeh.1998.0712","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0037954817&doi=10.1006%2fexeh.1998.0712&partnerID=40&md5=1b0cbce342036d4c3ab52ecbe47db94a","Article","Final","","Scopus","2-s2.0-0037954817"
"Burra N.","Burra, N. (37016129000)","37016129000","Out of sight, out of mind: working girls in India","1989","International Labour Review","128","5","","651","660","9","6","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0024838085&partnerID=40&md5=b5c91510be40d42e040d7ce4b2d9009d","Article","Final","","Scopus","2-s2.0-0024838085"
"Sancho-Liao N.","Sancho-Liao, N. (6507457266)","6507457266","Child labour in the Philippines: exploitation in the process of globalization of the economy","1994","Labour, Capital & Society","27","2","","270","281","11","7","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0028685033&partnerID=40&md5=a5ef004dc1d2e0e5bd006092e0b1e9ea","Article","Final","","Scopus","2-s2.0-0028685033"
"Wall E.","Wall, Ellen (7005144674)","7005144674","Farm labour markets and the structure of agriculture","1994","Canadian Review of Sociology/Revue canadienne de sociologie","31","1","","65","81","16","8","10.1111/j.1755-618X.1994.tb01293.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84984217546&doi=10.1111%2fj.1755-618X.1994.tb01293.x&partnerID=40&md5=ede523384adbb92bc3c62490c657c875","Article","Final","","Scopus","2-s2.0-84984217546"
"Lee-Wright P.","Lee-Wright, P. (26036123200)","26036123200","Child slaves","1990","Child slaves","","","","","","280","15","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040881768&partnerID=40&md5=a965af9f46cc832aad05462e22060c68","Article","Final","","Scopus","2-s2.0-85040881768"
"London L.","London, Leslie (55221684300)","55221684300","Occupational epidemiology in agriculture: A case study in the Southern African context","1998","International Journal of Occupational and Environmental Health","4","4","","245","256","11","15","10.1179/oeh.1998.4.4.245","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0032176339&doi=10.1179%2foeh.1998.4.4.245&partnerID=40&md5=a6d6e193710fd6637559010256894e64","Article","Final","","Scopus","2-s2.0-0032176339"
"Brass T.","Brass, Tom (6701751577)","6701751577","Why unfree labour is not 'so-called': The fictions of Jairus Banaji","2003","Journal of Peasant Studies","31","1","","101","136","35","43","10.1080/0306615031000169143","https://www.scopus.com/inward/record.uri?eid=2-s2.0-2042533499&doi=10.1080%2f0306615031000169143&partnerID=40&md5=1530f8e22a28cd7691ce33af002c31b7","Article","Final","","Scopus","2-s2.0-2042533499"
"Katz C.","Katz, Cindi (7004976799)","7004976799","Sow What You Know: The Struggle for Social Reproduction in Rural Sudan","1991","Annals of the Association of American Geographers","81","3","","488","514","26","126","10.1111/j.1467-8306.1991.tb01706.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0026272976&doi=10.1111%2fj.1467-8306.1991.tb01706.x&partnerID=40&md5=867f153d58805c1bc913632c77186cdc","Article","Final","","Scopus","2-s2.0-0026272976"
"Wuchte Thomas A.","Wuchte, Thomas A. (6507718705)","6507718705","Military construction in Russia","1994","Military Engineer","86","564","","5","8","3","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0028447629&partnerID=40&md5=51cbdc16ea15849f80e530569e1c3255","Article","Final","","Scopus","2-s2.0-0028447629"
"Chapman L.J.; Schuler R.T.; Wilkinson T.L.; Skjolaas C.A.","Chapman, Larry J. (35578406000); Schuler, Ronald T. (22951707700); Wilkinson, Terry L. (7202351256); Skjolaas, Cheryl A. (7801371119)","35578406000; 22951707700; 7202351256; 7801371119","Farm‐work hazard prevention efforts by school‐based agricultural education instructors","1995","American Journal of Industrial Medicine","28","4","","565","577","12","7","10.1002/ajim.4700280411","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0029091156&doi=10.1002%2fajim.4700280411&partnerID=40&md5=8bfcfabd75af7f446b332c31b01552e2","Article","Final","","Scopus","2-s2.0-0029091156"
"De Coster J.","De Coster, J. (34768189200)","34768189200","Textile trade unions lead the fight against child labour; [Textielvakbonden voeren strijd tegen kinderarbeid op]","1998","Context Magazine","53","1","","7","","","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0031819461&partnerID=40&md5=cc2ca5debb02efa28383a8554e4d1a78","Article","Final","","Scopus","2-s2.0-0031819461"
"Richardson T.","Richardson, Theresa (8686876300)","8686876300","Moral imperatives for the millennium: The historical construction of race and its implications for childhood and schooling in the twentieth century","2000","Studies in Philosophy and Education","19","4","","301","327","26","2","10.1023/A:1005237614344","https://www.scopus.com/inward/record.uri?eid=2-s2.0-52849116545&doi=10.1023%2fA%3a1005237614344&partnerID=40&md5=3794e2c7e4baaf8e420ed45c65f3d251","Article","Final","","Scopus","2-s2.0-52849116545"
"Elmore A.","Elmore, Andrew (6603942624)","6603942624","State joint employer liability laws and pro se back wage claims in the garment industry: A federalist approach to a national crisis","2001","UCLA Law Review","49","1","","395","445","50","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035527655&partnerID=40&md5=bb36100cc796a8af67982fec31ee664a","Review","Final","","Scopus","2-s2.0-0035527655"
"","","","A billion dollar case of exploitation?","1999","World Clothing Manufacturer","80","1","","10","11","1","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0032784104&partnerID=40&md5=5f7e63c18c3fcc5c0bb930df1d5392c1","Article","Final","","Scopus","2-s2.0-0032784104"
"Garrabou R.; Planas J.; Saguer E.","Garrabou, R. (6507787458); Planas, J. (8449599800); Saguer, E. (55375740100)","6507787458; 8449599800; 55375740100","Sharecropping and the management of large rural estates in Catalonia, 1850-1950","2001","Journal of Peasant Studies","28","3","","89","108","19","21","10.1080/03066150108438776","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034985271&doi=10.1080%2f03066150108438776&partnerID=40&md5=4a34bd9900a1b6d78b6de745a993cbd1","Article","Final","","Scopus","2-s2.0-0034985271"
"Mathew T.K.","Mathew, T.K. (57196828426)","57196828426","Social entrepreneurship for rural development","1990","When the harvest is in: developing rural entrepreneurship","","","","145","155","10","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0025206958&partnerID=40&md5=9240e4891bd7956adf461e33410166c1","Article","Final","","Scopus","2-s2.0-0025206958"
"Venkateshwarlu D.; Da Corta L.","Venkateshwarlu, D. (6508199779); Da Corta, L. (6508074848)","6508199779; 6508074848","Transformations in the age and gender of unfree workers on hybrid cotton seed farms in Andhra Pradesh","2001","Journal of Peasant Studies","28","3","","1","36","35","36","10.1080/03066150108438773","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034985270&doi=10.1080%2f03066150108438773&partnerID=40&md5=dca3da43c3babdeddc99bf34c8c0b516","Article","Final","","Scopus","2-s2.0-0034985270"
"Levine S.","Levine, Susan (56207487800)","56207487800","“Picannin” wages and child labor in the South African agriculture, mining, and domestic service industries: 1658 to the present","1996","Anthropology of Work Review","17","1","","42","50","8","4","10.1525/awr.1996.17.1.42","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84937278902&doi=10.1525%2fawr.1996.17.1.42&partnerID=40&md5=6fe8f528319267c689790bd352389bb7","Article","Final","","Scopus","2-s2.0-84937278902"
"Landrigan P.J.; McCammon J.B.","Landrigan, Philip J. (7102250584); McCammon, Jane B. (7102499017)","7102250584; 7102499017","Child","1997","Public Health Reports","112","6","","466","473","7","19","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0031260931&partnerID=40&md5=817e8e31feb9a9059ef8406fc8faefe3","Review","Final","","Scopus","2-s2.0-0031260931"
"Frenkel S.J.","Frenkel, Stephen J. (7004315159)","7004315159","Globalization, athletic footwear commodity chains and employment relations in China","2001","Organization Studies","22","4","","531","562","31","145","10.1177/0170840601224001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0039330666&doi=10.1177%2f0170840601224001&partnerID=40&md5=e95ffb141065bf8a6e65d9d2caac450c","Article","Final","","Scopus","2-s2.0-0039330666"
"WALDINGER R.; LAPP M.","WALDINGER, ROGER (7003672661); LAPP, MICHAEL (7004183866)","7003672661; 7004183866","Back to the Sweatshop or Ahead to the Informal Sector?","1993","International Journal of Urban and Regional Research","17","1","","6","29","23","47","10.1111/j.1468-2427.1993.tb00209.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0027492593&doi=10.1111%2fj.1468-2427.1993.tb00209.x&partnerID=40&md5=629e2d4b381ba934709097533a838052","Article","Final","","Scopus","2-s2.0-0027492593"
"Pons F.M.","Pons, Frank Moya (57189533901)","57189533901","The politics of forced Indian labour in La Española 1493–1520","1992","Antiquity","66","250","","130","139","9","8","10.1017/S0003598X0008114X","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0027063323&doi=10.1017%2fS0003598X0008114X&partnerID=40&md5=a050a1a4321fa8c3e944e347fbfe87c3","Article","Final","","Scopus","2-s2.0-0027063323"
"Younus Jafri S.M.; Raishad","Younus Jafri, S.M. (7006365368); Raishad (7409951372)","7006365368; 7409951372","Some dimensions of child labour in Pakistan","1997","Pakistan Development Review","36","1","","69","86","17","5","10.30541/v36i1pp.69-86","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0031393370&doi=10.30541%2fv36i1pp.69-86&partnerID=40&md5=3f3bd105e97d07df3581b2e5675727e8","Article","Final","All Open Access; Bronze Open Access; Green Open Access","Scopus","2-s2.0-0031393370"
"Cleaver K.; Schreiber G.","Cleaver, K. (6602532049); Schreiber, G. (7202599941)","6602532049; 7202599941","Population, agriculture, and the environment in Africa.","1992","Finance & development","29","2","","34","35","1","5","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0026879558&partnerID=40&md5=5ca2ac17aaff59e4f720b614e55af102","Article","Final","","Scopus","2-s2.0-0026879558"
"Yotopoulos P.A.; Kuroda Y.","Yotopoulos, P.A. (6603487367); Kuroda, Y. (57220728346)","6603487367; 57220728346","A subjective equilibrium approach to the value of children in the agricultural household","1988","Pakistan Development Review","27","3","","229","276","47","5","10.30541/v27i3pp.229-276","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0024164190&doi=10.30541%2fv27i3pp.229-276&partnerID=40&md5=4c4d50e7f267c90c63ea7e15668ac92b","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-0024164190"
"Reigart J.R.; Etzel R.A.; Goldman L.R.; Hendrick J.G.; Mofenson H.C.; Simon P.R.","Reigart, J.R. (6701572504); Etzel, R.A. (7005454702); Goldman, L.R. (7403121317); Hendrick, J.G. (7006165128); Mofenson, H.C. (7006022424); Simon, P.R. (7402476057)","6701572504; 7005454702; 7403121317; 7006165128; 7006022424; 7402476057","The hazards of child labor","1995","Pediatrics","95","2","","311","313","2","13","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0028938881&partnerID=40&md5=9629d19107e9fbfad5b40c2fd9c556f3","Short survey","Final","","Scopus","2-s2.0-0028938881"
"Angelo L.","Angelo, Larian (6506903174)","6506903174","Wage Labour Deferred: The Recreation of Unfree Labour in the US South","1995","The Journal of Peasant Studies","22","4","","581","644","63","10","10.1080/03066159508438590","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0029521152&doi=10.1080%2f03066159508438590&partnerID=40&md5=f1effde68a7bdeef39b2fe6ec352e58a","Article","Final","","Scopus","2-s2.0-0029521152"
"Sharif M.; Saha R.K.","Sharif, Mohammed (7102307700); Saha, Ranjan K. (7005963452)","7102307700; 7005963452","The Observed Landholding-Fertility Relationship - Is It Monotonic?","1993","The Journal of Development Studies","29","2","","319","341","22","3","10.1080/00220389308422276","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0027455811&doi=10.1080%2f00220389308422276&partnerID=40&md5=dbbed7a5983b61153e2d7d17132d7331","Article","Final","","Scopus","2-s2.0-0027455811"
"Campbell G.","Campbell, Gwyn (13409063400)","13409063400","Slavery and fanompoana: The structure of forced labour in imerina (madagascar), 179018611","1988","The Journal of African History","29","3","","463","486","23","43","10.1017/S0021853700030589","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0024158182&doi=10.1017%2fS0021853700030589&partnerID=40&md5=c7f1344dd767978a274aee0b5b2aee00","Article","Final","","Scopus","2-s2.0-0024158182"
"Kassim A.","Kassim, A. (7004412913)","7004412913","Social dimensions of industrialization in Malaysia","1991","Regional Development Dialogue","12","1","","45","66","21","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0026097054&partnerID=40&md5=96060fb8742ef18197e9b769aaeea40a","Article","Final","","Scopus","2-s2.0-0026097054"
"June A.W.","June, Audrey Williams (6602656418)","6602656418","In its first major report, anti-sweatshop group cites violations","2003","Chronicle of Higher Education","49","43 SEC. 3","","A23","","","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0038105053&partnerID=40&md5=dbc26d6e758fcf4f086fc67bb5871b92","Review","Final","","Scopus","2-s2.0-0038105053"
"Wilk V.A.","Wilk, Valerie A. (6602283798)","6602283798","Health hazards to children in agriculture","1993","American Journal of Industrial Medicine","24","3","","283","290","7","63","10.1002/ajim.4700240305","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0027304188&doi=10.1002%2fajim.4700240305&partnerID=40&md5=32f594861a1b32c9667ef7ba7a9c174e","Article","Final","","Scopus","2-s2.0-0027304188"
"Lemen R.A.; Layne L.A.; Castillo D.N.; Lancashire J.H.","Lemen, Richard A. (7006380073); Layne, Larry A. (6701645053); Castillo, Dawn N. (7006506999); Lancashire, Jeffrey H. (6602360165)","7006380073; 6701645053; 7006506999; 6602360165","Children at work: Prevention of occupational injury and disease","1993","American Journal of Industrial Medicine","24","3","","325","330","5","8","10.1002/ajim.4700240309","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0027268142&doi=10.1002%2fajim.4700240309&partnerID=40&md5=cb45b05d477409fd9d6c8cdf3ef485e2","Article","Final","","Scopus","2-s2.0-0027268142"
"Salick J.","Salick, Jan (6602174947)","6602174947","Subsistence and the single woman among the Amuesha of the upper Amazon, Peru","1992","Society and Natural Resources","5","1","","37","51","14","6","10.1080/08941929209380774","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0026468502&doi=10.1080%2f08941929209380774&partnerID=40&md5=9683124e27c1c84a6df321b4df921cda","Article","Final","","Scopus","2-s2.0-0026468502"
"Levine S.","Levine, Susan (56207487800)","56207487800","“Picannin” wages and child labor in the South African agriculture, mining, and domestic service industries: 1658 to the present","1996","Anthropology of Work Review","17","1-2","","42","50","8","0","10.1525/awr.1996.17.1-2.42","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040406474&doi=10.1525%2fawr.1996.17.1-2.42&partnerID=40&md5=53b717c98f710a0739121c038c0d00aa","Article","Final","","Scopus","2-s2.0-85040406474"
"Admassie A.","Admassie, A. (7801308072)","7801308072","Child labour and schooling in the context of a subsistence rural economy: Can they be compatible?","2003","International Journal of Educational Development","23","2","","167","185","18","89","10.1016/S0738-0593(02)00012-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0037336573&doi=10.1016%2fS0738-0593%2802%2900012-3&partnerID=40&md5=edb411dad90748df8c32319b1b797937","Article","Final","","Scopus","2-s2.0-0037336573"
"Hum T.","Hum, Tarry (22985072300)","22985072300","Mapping global production in New York City's garment industry: The role of Sunset Park, Brooklyn's immigrant economy","2003","Economic Development Quarterly","17","3","","294","309","15","25","10.1177/0891242403255088","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0042785758&doi=10.1177%2f0891242403255088&partnerID=40&md5=f4a2472b6ecb2e29bb32578a3d6d2bbd","Article","Final","","Scopus","2-s2.0-0042785758"
"Schulte J.E.","Schulte, Jan Erik (37095963600)","37095963600","From forced labor camp to extermination camp. The evolvement of Auschwitz-Birkenau 1941/42; [Vom arbeits- zum vernichtungslager: Die entstehungsgeschichte von Auschwitz-Birkenau 1941/42]","2002","Vierteljahrshefte fur Zeitgeschichte","50","1","","41","69+157","","8","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-61149288162&partnerID=40&md5=ef39e20a85595cce8e1816711bff9590","Article","Final","","Scopus","2-s2.0-61149288162"
"Wilson A.","Wilson, A. (57199229539)","57199229539","Children of the looms","2000","Textile Horizons","","MAR.","","14","","","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034032401&partnerID=40&md5=e6264bcbf3ada29abedc9a0e372aba2d","Article","Final","","Scopus","2-s2.0-0034032401"
"Chowdhury A.N.; Chowdhury S.; Chakraborty A.K.","Chowdhury, A.N. (14044803900); Chowdhury, S. (56231932400); Chakraborty, A.K. (7201865157)","14044803900; 56231932400; 7201865157","Eco-stress, quality of life and mental health in Sundarban delta of India","1999","International Medical Journal","6","1","","59","63","4","13","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0032935268&partnerID=40&md5=b31428b1fdf42d921ed626b9aa0f1d14","Article","Final","","Scopus","2-s2.0-0032935268"
"","","","Honduran Maquiladora Association establishes code of conduct","1998","Apparel Industry Magazine","59","3","","82+81","","","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0031823960&partnerID=40&md5=e2c24ee0fb866699b3e42a9720008fe5","Article","Final","","Scopus","2-s2.0-0031823960"
"Fahim H.I.; Faris R.","Fahim, H.I. (6507486159); Faris, R. (7005656139)","6507486159; 7005656139","Child abuse as an inhibiting factor for family planning.","1992","The Journal of the Egyptian Public Health Association","67","1-2","","1","11","10","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0027015988&partnerID=40&md5=cf7064dad2b9626891516a448c744782","Article","Final","","Scopus","2-s2.0-0027015988"
"","","","Notice Concerning Making Good Preparations for the Beginning of the New School Year, 1988.","1988","Annual review of population law","15","","","218","","","2","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0024275389&partnerID=40&md5=70686a476065182a21082a9f51f8f5e8","Article","Final","","Scopus","2-s2.0-0024275389"
"Mehafdi M.","Mehafdi, Messaoud (6505898554)","6505898554","The Ethics of International Transfer Pricing","2000","Journal of Business Ethics","28","4","","365","381","16","27","10.1023/a:1006353027052","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0348002829&doi=10.1023%2fa%3a1006353027052&partnerID=40&md5=bdddc1ff976fba275f822fc0f5f68a0d","Article","Final","","Scopus","2-s2.0-0348002829"
"Basu K.","Basu, Kaushik (7005665190)","7005665190","The Economics of Child Labor","2003","Scientific American","289","4","","84","91","7","11","10.1038/scientificamerican1003-84","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0141972635&doi=10.1038%2fscientificamerican1003-84&partnerID=40&md5=cc73760d48d2016f27c185f88c37925a","Review","Final","","Scopus","2-s2.0-0141972635"
"Venkateswarlu D.; Kasper J.; Mathews R.; Reis C.; Iacopino V.; Wise P.","Venkateswarlu, Davuluri (7004446948); Kasper, Jennifer (55074153900); Mathews, Rahel (58424249400); Reis, Chen (7103110995); Iacopino, Vincent (25122497300); Wise, Paul (7102284215)","7004446948; 55074153900; 58424249400; 7103110995; 25122497300; 7102284215","Child labour in India: a health and human rights perspective.","2003","Lancet","362 Suppl","","","s32","33","1","6","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-1542649541&partnerID=40&md5=8d70e4ce3f3273f72731622c2a211629","Article","Final","","Scopus","2-s2.0-1542649541"
"Saha A.; Chaudhuri R.N.","Saha, Asim (7201627524); Chaudhuri, R.N. (7102286157)","7201627524; 7102286157","A morbidity study of molasses producing workers","2002","Indian Journal of Occupational and Environmental Medicine","6","4","","222","224","2","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0242332174&partnerID=40&md5=2ff7e81bd92ec8b6094411e72fb7c4b6","Article","Final","","Scopus","2-s2.0-0242332174"
"Brun T.A.","Brun, T.A. (7006822925)","7006822925","The nutrition and health impact of cash cropping in west Africa: a historical perspective.","1991","World review of nutrition and dietetics","65","","","124","162","38","9","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0026039188&partnerID=40&md5=fff88a7e20e010468b0bb075ee06447b","Review","Final","","Scopus","2-s2.0-0026039188"
"Simmons C.; Kalantaridis C.","Simmons, C. (7103173827); Kalantaridis, C. (6603011073)","7103173827; 6603011073","Household and small-scale rural enterprises in the southern European periphery: A case-study from Peonia, Greece","1994","Byzantine and Modern Greek Studies","18","1","","187","234","47","2","10.1179/byz.1994.18.1.187","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84976772899&doi=10.1179%2fbyz.1994.18.1.187&partnerID=40&md5=bea8020221c763101340e438e81d6d89","Article","Final","","Scopus","2-s2.0-84976772899"
