,Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
176,Sierra-Rodríguez A.; Arroyo-Machado W.; Barroso-Hurtado D.,"Sierra-Rodríguez, Alba (57487930500); Arroyo-Machado, Wenceslao (57205072691); Barroso-Hurtado, Domingo (57205493826)",57487930500; 57205072691; 57205493826,"Twitter and human trafficking: Purposes, actors and topics in the Spanish-speaking scene; [La trata de personas en Twitter: Finalidades, actores y temas en la escena hispanohablante]",2022,Comunicar,30,71,,1,13,12.0,2,10.3916/C71-2022-06,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126340522&doi=10.3916%2fC71-2022-06&partnerID=40&md5=dac98f3738af3891082ccd47f7b02fa7,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85126340522
177,Muianga C.,"Muianga, Carlos (57543812000)",57543812000,The expansion of capitalist agricultural production and social reproduction of rural labour: contradictions within the logic of capital accumulation in Mozambique; [  A expansão da produção agrícola capitalista e a reprodução social da força de trabalho rural: contradições dentro da lógica de acumulação de capital em Moçambique],2022,Review of African Political Economy,49,171,,87,106,19.0,3,10.1080/03056244.2022.2036485,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126890329&doi=10.1080%2f03056244.2022.2036485&partnerID=40&md5=025139df34e1b81d5281d77dc1e5c6d6,Article,Final,,Scopus,2-s2.0-85126890329
178,Sabates-Wheeler R.; Sumberg J.,"Sabates-Wheeler, Rachel (6508061940); Sumberg, James (6701487425)",6508061940; 6701487425,Breaking out of the policy enclave approach to child labour in sub-Saharan African agriculture,2022,Global Social Policy,22,1,,46,66,20.0,5,10.1177/1468018121991813,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100901942&doi=10.1177%2f1468018121991813&partnerID=40&md5=2713dcf919abc4e22cab18b86cb68701,Article,Final,All Open Access; Green Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85100901942
182,Habib R.R.; Katrib R.S.; Katrib F.S.; Abi Younes E.; Ziadee M.; Al Barathie J.,"Habib, Rima R. (12795442800); Katrib, Reem S. (57572765800); Katrib, Farah S. (57572765900); Abi Younes, Elio (57206657227); Ziadee, Micheline (55638642600); Al Barathie, Josleen (57267123400)",12795442800; 57572765800; 57572765900; 57206657227; 55638642600; 57267123400,Mistreatment at work and musculoskeletal pain in male and female working Syrian refugee children,2022,Ergonomics,65,11,,1469,1476,7.0,2,10.1080/00140139.2022.2051610,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128062903&doi=10.1080%2f00140139.2022.2051610&partnerID=40&md5=6ab489caa8d2ce8ffef6febcc2acae31,Article,Final,,Scopus,2-s2.0-85128062903
183,Mitchell D.,"Mitchell, Don (7403871030)",7403871030,"Taylorism Comes to the Fields: Labor Control, Labor Supply, Labor Process, and the Twilight of Fordism in California Agribusiness",2023,Economic Geography,99,4,,341,362,21.0,2,10.1080/00130095.2023.2188188,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150900552&doi=10.1080%2f00130095.2023.2188188&partnerID=40&md5=fbada8d3eda375f4b380eb47d7cfa2aa,Article,Final,All Open Access; Green Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85150900552
184,Hasil J.; Kyselý R.; Pilař D.,"Hasil, Jan (56378872200); Kyselý, René (56560101200); Pilař, Daniel (58414147800)",56378872200; 56560101200; 58414147800,The Rediscovery of a Labour Camp on the Construction Site of the Stalin Monument in Prague; [Znovuobjevení pracovního tábora na staveništi pražského Stalinova pomníku],2022,Acta Universitatis Lodziensis. Folia Archaeologica,,37,,7,29,22.0,1,10.18778/0208-6034.37.01,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163763270&doi=10.18778%2f0208-6034.37.01&partnerID=40&md5=456754426774ab17077dc871a1d1d50f,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85163763270
185,Hepburn S.; Jackson A.,"Hepburn, Sacha (57205418326); Jackson, April (57223285197)",57205418326; 57223285197,"Colonial Exceptions: The International Labour Organization and Child Labour in British Africa, c.1919–40",2022,Journal of Contemporary History,57,2,,218,241,23.0,4,10.1177/0022009420988063,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105521644&doi=10.1177%2f0022009420988063&partnerID=40&md5=fd3556a8c61759eb23e539ea71fd17d2,Article,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85105521644
186,Tohidian I.; Taskoh A.K.; Abbaspour A.,"Tohidian, Iman (24825597900); Taskoh, Ali Khorsandi (57215009506); Abbaspour, Abbas (55209814700)",24825597900; 57215009506; 55209814700,Stories from children of labour in Iran: Do universities have a social responsibility to help resolve the problems?,2023,Issues in Educational Research,33,1,,414,427,13.0,2,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153326024&partnerID=40&md5=cb0403c1ced414748efddc53da48fa4a,Article,Final,,Scopus,2-s2.0-85153326024
187,Lurgain J.G.; Eyber C.,"Lurgain, Jone G. (57210337828); Eyber, Carola (6505784695)",57210337828; 6505784695,"Understanding female adolescent ‘runaways’ and the implications of their decisions in Tigray, northern Ethiopia",2022,Child Abuse and Neglect,129,,104125,,,,6,10.1016/j.chiabu.2019.104125,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070390929&doi=10.1016%2fj.chiabu.2019.104125&partnerID=40&md5=4df150da1b2bf2e0aa46b18935701474,Article,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85070390929
190,Deshingkar P.,"Deshingkar, Priya (8535567100)",8535567100,Cultural capital and constrained agency in debt-migration for construction work in India,2023,Cultural Studies,37,4,,605,625,20.0,5,10.1080/09502386.2022.2045333,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126213088&doi=10.1080%2f09502386.2022.2045333&partnerID=40&md5=2e6f1dd1f39359737947d9318dd652b7,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85126213088
191,Fassa A.G.; Faria N.M.X.; Szortyka A.L.S.C.; Meucci R.D.; Fiori N.S.; de Carvalho M.P.,"Fassa, Anaclaudia Gastal (6602427635); Faria, Neice Muller Xavier (57207557678); Szortyka, Ana Laura Sica Cruzeiro (16306277400); Meucci, Rodrigo Dalke (55234123900); Fiori, Nadia Spada (36789876100); de Carvalho, Maitê Peres (42461191700)",6602427635; 57207557678; 16306277400; 55234123900; 36789876100; 42461191700,Child labor in family tobacco farms in southern brazil: Occupational exposure and related health problems,2021,International Journal of Environmental Research and Public Health,18,22,12255,,,,3,10.3390/ijerph182212255,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119408839&doi=10.3390%2fijerph182212255&partnerID=40&md5=83e227c0a77459b658d01b282a431c9c,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85119408839
192,Kaplan Y.; Perez O.,"Kaplan, Yotam (57196389802); Perez, Oren (12765223300)",57196389802; 12765223300,TORT AS META-REGULATION: THE LIABILITY OF PRIVATE TRANSNATIONAL REGULATORS,2022,University of Pennsylvania Journal of International Law,43,3,,667,719,52.0,1,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160673947&partnerID=40&md5=92e6dd586be9235dbbdf18cbbcdde57f,Article,Final,,Scopus,2-s2.0-85160673947
194,Jones P.; Comfort D.,"Jones, Peter (57209625905); Comfort, Daphne (8064675100)",57209625905; 8064675100,Modern slavery statements and the UK's largest housebuilding companies: an exploratory research paper,2022,Property Management,40,5,,658,670,12.0,7,10.1108/PM-06-2021-0043,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124610939&doi=10.1108%2fPM-06-2021-0043&partnerID=40&md5=d97bfad5d6776513940a9b47d8a21986,Article,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85124610939
196,Hirvelä J.; Jänis-Isokangas I.,"Hirvelä, Jesse (57845067300); Jänis-Isokangas, Ira (57164808800)",57845067300; 57164808800,"Future Citizens or Useful Workforce? Finnish Immigrants and the Communist Party of Finland in Svirstroi, 1931-1934",2022,Soviet and Post Soviet Review,49,3,,339,362,23.0,0,10.30965/18763324-bja10064,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135874351&doi=10.30965%2f18763324-bja10064&partnerID=40&md5=52fe1e4b748ca9c74010777cb6841ace,Review,Final,,Scopus,2-s2.0-85135874351
198,Wray-Bliss E.; Michelson G.,"Wray-Bliss, Edward (6505870209); Michelson, Grant (8595262000)",6505870209; 8595262000,Modern Slavery and the Discursive Construction of a Propertied Freedom: Evidence from Australian Business,2022,Journal of Business Ethics,179,3,,649,663,14.0,11,10.1007/s10551-021-04845-w,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107402220&doi=10.1007%2fs10551-021-04845-w&partnerID=40&md5=d77243bd34754f80ec785d5f6753e4f1,Article,Final,,Scopus,2-s2.0-85107402220
200,Krasnozhenova Elena E.; Greben Evgeny A.,"Krasnozhenova Elena, E. (57222167852); Greben Evgeny, A. (57222167247)",57222167852; 57222167247,Ostarbeiters of the Belarusian-Russian border: living and working conditions in Germany and the Baltic States,2021,Voprosy Istorii,11,1,,18,27,9.0,0,10.31166/VoprosyIstorii202111Statyi02,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126290551&doi=10.31166%2fVoprosyIstorii202111Statyi02&partnerID=40&md5=d858d54966d89f10329110f9c1955808,Article,Final,,Scopus,2-s2.0-85126290551
202,Arnold T.J.; Arcury T.A.; Sandberg J.C.; Quandt S.A.; Talton J.W.; Mora D.C.; Kearney G.D.; Chen H.; Wiggins M.F.; Daniel S.S.,"Arnold, Taylor J. (57203877920); Arcury, Thomas A. (7005890732); Sandberg, Joanne C. (54884900200); Quandt, Sara A. (7005921858); Talton, Jennifer W. (35338060600); Mora, Dana C. (55261840200); Kearney, Gregory D. (56999195600); Chen, Haiying (57126555300); Wiggins, Melinda F. (55539821300); Daniel, Stephanie S. (57202874774)",57203877920; 7005890732; 54884900200; 7005921858; 35338060600; 55261840200; 56999195600; 57126555300; 55539821300; 57202874774,Heat-Related Illness Among Latinx Child Farmworkers in North Carolina: A Mixed-Methods Study,2020,New Solutions,30,2,,111,126,15.0,27,10.1177/1048291120920571,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084486669&doi=10.1177%2f1048291120920571&partnerID=40&md5=d3f1241c8e4556c8828b3a89d670d2af,Article,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85084486669
203,Tomczak R.H.,"Tomczak, Richard H. (57223926467)",57223926467,"Corvée labour and the habitant ""Spirit of Mutiny"" in New France, 1688-1731",2021,Labour/ Le Travail,,87,,19,47,28.0,1,10.1353/llt.2021.0003,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106465366&doi=10.1353%2fllt.2021.0003&partnerID=40&md5=8cf962da5e9151524b810bf01698140e,Review,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85106465366
204,Ravenda D.; Valencia-Silva M.M.; Argiles-Bosch J.M.; García-Blandón J.,"Ravenda, Diego (56306301000); Valencia-Silva, Maika M. (56289818300); Argiles-Bosch, Josep M. (23468738600); García-Blandón, Josep (36141689700)",56306301000; 56289818300; 23468738600; 36141689700,The Effects of Immigration on Labour Tax Avoidance: An Empirical Spatial Analysis,2021,Journal of Business Ethics,170,3,,471,496,25.0,3,10.1007/s10551-019-04393-4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077087686&doi=10.1007%2fs10551-019-04393-4&partnerID=40&md5=f484f3e4ad0163a7cb6ecee921166250,Article,Final,,Scopus,2-s2.0-85077087686
207,Mulukaev R.S.; Malygin A.Ya.,"Mulukaev, Roland S. (57220813146); Malygin, Alexander Yа (57220812717)",57220813146; 57220812717,Defense production activities of the GULAG NKVD USSR in 1941-1945. In the materials of the state defense committee,2021,Voprosy Istorii,2021,5-2,,243,253,10.0,0,10.31166/VoprosyIstorii202105Statyi56,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109037820&doi=10.31166%2fVoprosyIstorii202105Statyi56&partnerID=40&md5=1eea3f3d680ce09e8a34e4a052ea5f71,Article,Final,,Scopus,2-s2.0-85109037820
208,Trinh T.-A.; Posso A.; Feeny S.,"Trinh, Trong-Anh (57196425412); Posso, Alberto (26030024900); Feeny, Simon (6508110969)",57196425412; 26030024900; 6508110969,Child Labor and Rainfall Deviation: Panel Data Evidence from Rural Vietnam,2020,Developing Economies,58,1,,63,76,13.0,7,10.1111/deve.12215,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074021952&doi=10.1111%2fdeve.12215&partnerID=40&md5=fa91c0b8df67d1224c3435374fa03d1e,Article,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85074021952
209,Bracy K.; Lul B.; Roe-Sepowitz D.,"Bracy, Kristen (57210374191); Lul, Bandak (57210378278); Roe-Sepowitz, Dominique (23092163800)",57210374191; 57210378278; 23092163800,A Four-year Analysis of Labor Trafficking Cases in the United States: Exploring Characteristics and Labor Trafficking Patterns,2021,Journal of Human Trafficking,7,1,,35,52,17.0,20,10.1080/23322705.2019.1638148,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070519582&doi=10.1080%2f23322705.2019.1638148&partnerID=40&md5=52ac335937caed6d22d29342fec88658,Article,Final,,Scopus,2-s2.0-85070519582
210,Montt G.; Luu T.,"Montt, Guillermo (36775010700); Luu, Trang (57210440941)",36775010700; 57210440941,Does Conservation Agriculture Change Labour Requirements? Evidence of Sustainable Intensification in Sub-Saharan Africa,2020,Journal of Agricultural Economics,71,2,,556,580,24.0,25,10.1111/1477-9552.12353,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070784622&doi=10.1111%2f1477-9552.12353&partnerID=40&md5=c40625fd19a4bab30098ef3a972ef00e,Article,Final,,Scopus,2-s2.0-85070784622
211,Battistelli S.,"Battistelli, Stefania (57226838799)",57226838799,Citizenship and exploitation in the case of an “innovative” farm; [Cittadinanze e sfruttamento nel caso di un’azienda agricola “innovativa”],2021,Lavoro e Diritto,35,2,,321,334,13.0,2,10.1441/100866,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112797462&doi=10.1441%2f100866&partnerID=40&md5=54c4f22843a5404cc4168551a8564754,Review,Final,,Scopus,2-s2.0-85112797462
212,Daly A.; Hillis A.; Shrestha S.M.; Shrestha B.K.,"Daly, Angela (55360045000); Hillis, Alice (57527592000); Shrestha, Shubhendra Man (57219147615); Shrestha, Babu Kaji (57219145847)",55360045000; 57527592000; 57219147615; 57219145847,Children’s migration to brick kilns in Nepal: a review of educational interventions and stakeholder responses to child labour,2021,Vulnerable Children and Youth Studies,16,3,,221,231,10.0,3,10.1080/17450128.2020.1867334,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098550792&doi=10.1080%2f17450128.2020.1867334&partnerID=40&md5=d65d72a1e3f1eefc762191dc85561049,Article,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85098550792
213,Wixforth H.,"Wixforth, Harald (37084846100)",37084846100,Room for manoeuvre in times of change the Bremer Vulcan Ag in World War II and the postwar period; [Handlungsspielräume in Umbruchszeiten Der Bremer Vulkan im Zweiten Weltkrieg und in der Nachkriegszeit],2021,Zeitschrift fur Unternehmensgeschichte,66,2,,255,291,36.0,0,10.1515/zug-2021-0008,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116055265&doi=10.1515%2fzug-2021-0008&partnerID=40&md5=597540e4347955a1cca074d02ad0bd7a,Review,Final,,Scopus,2-s2.0-85116055265
214,Webb D.A.,"Webb, Denver A. (55662613000)",55662613000,"The Historian, the Premier and Forced Labour in the Cape Colony, 1878–1879",2020,Journal of Southern African Studies,46,3,,491,507,16.0,0,10.1080/03057070.2020.1763030,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087084588&doi=10.1080%2f03057070.2020.1763030&partnerID=40&md5=6e2e5271fadeb4ba3c9cc2e89f41c80c,Article,Final,,Scopus,2-s2.0-85087084588
216,Barth S.,"Barth, Susanne (57280066900)",57280066900,"Revisiting the ""cosel period"": A fresh perspective on the stopping of western deportation trains en route to auschwitz, 1942–1943",2021,Shofar,39,2,,32,61,29.0,0,10.1353/SHO.2021.0023,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116073197&doi=10.1353%2fSHO.2021.0023&partnerID=40&md5=afbaa112afc215dd00e4942b30b4f776,Article,Final,,Scopus,2-s2.0-85116073197
220,Paik W.,"Paik, Wooyeal (47861946700)",47861946700,"Struggling Foreign Small- and Medium-Sized Factories in Coastal China: Liquidate, Move, or Fly by Night?",2020,Modern China,46,4,,433,458,25.0,1,10.1177/0097700419854658,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068338803&doi=10.1177%2f0097700419854658&partnerID=40&md5=16ee2e618c688cbe2e6c42adf1cfa360,Article,Final,,Scopus,2-s2.0-85068338803
221,Albertus M.; Espinoza M.; Fort R.,"Albertus, Michael (54943502000); Espinoza, Mauricio (57219089931); Fort, Ricardo (24485112700)",54943502000; 57219089931; 24485112700,Land reform and human capital development: Evidence from Peru,2020,Journal of Development Economics,147,,102540,,,,15,10.1016/j.jdeveco.2020.102540,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091194930&doi=10.1016%2fj.jdeveco.2020.102540&partnerID=40&md5=01088f613adbe5ff80e9762cecf74cdc,Article,Final,,Scopus,2-s2.0-85091194930
222,Yea S.,"Yea, Sallie (6603790935)",6603790935,Postcolonial frameworks with survivors’ voices: Teaching about contemporary and historical forms of slavery and forced labour,2021,Anti-Trafficking Review,2021,17,,73,90,17.0,0,10.14197/atr.201221175,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115711430&doi=10.14197%2fatr.201221175&partnerID=40&md5=343ab3ca16b20642108980f23f471bfc,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85115711430
223,Natarajan N.,"Natarajan, Nithya (57210703058)",57210703058,"‘After me, all this is over’: Exploring class-entangled geographical agency in a shifting climate among tobacco farmers in South India",2021,Area,53,3,,431,439,8.0,4,10.1111/area.12693,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099952623&doi=10.1111%2farea.12693&partnerID=40&md5=b794857fe2eaf408ca0ca024da3a15a7,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85099952623
224,Kamola A.; Rózycki S.; Bylina P.; Lewandowski P.; Burakowski A.,"Kamola, Aleksander (57217152016); Rózycki, Sebastian (57217145639); Bylina, Paweł (57214204050); Lewandowski, Piotr (57217797110); Burakowski, Adam (57224246873)",57217152016; 57217145639; 57214204050; 57217797110; 57224246873,"Forgotten nazi forced labour camps: Arbeitslager riese (Lower Silesia, SE Poland) and the use of archival aerial photography and contemporary LiDAR and ground truth data to identify and delineate camp areas",2020,Remote Sensing,12,11,1802,,,,3,10.3390/rs12111802,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086462409&doi=10.3390%2frs12111802&partnerID=40&md5=72e817869fd149f5ce7fca7afa67173a,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85086462409
225,Calafà L.,"Calafà, Laura (57192085649)",57192085649,For a multidimensional approach to labour exploitation; [Per un approccio multidimensionale allo sfruttamento lavorativo],2021,Lavoro e Diritto,35,2,,193,214,21.0,10,10.1441/100860,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112835633&doi=10.1441%2f100860&partnerID=40&md5=24f0db0518fd412217a322244eca591b,Review,Final,,Scopus,2-s2.0-85112835633
227,Kolsi M.C.; Ananzeh M.; Awawdeh A.,"Kolsi, Mohamed Chakib (57035609500); Ananzeh, Mohammed (57238052400); Awawdeh, Alaeldin (57510464200)",57035609500; 57238052400; 57510464200,Compliance with the global reporting initiative standards in Jordan: case study of hikma pharmaceuticals,2021,International Journal of Sustainable Engineering,14,6,,1572,1586,14.0,3,10.1080/19397038.2021.1970273,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113942701&doi=10.1080%2f19397038.2021.1970273&partnerID=40&md5=02de9b6294e209194b410bd1b353687e,Article,Final,All Open Access; Bronze Open Access,Scopus,2-s2.0-85113942701
228,Faleri C.,"Faleri, Claudia (57521136800)",57521136800,«Repression is not enough». About caporalato and agricultural labour exploitation; [«Non basta la repressione». A proposito di caporalato e sfruttamento del lavoro in agricoltura],2021,Lavoro e Diritto,35,2,,257,279,22.0,4,10.1441/100863,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112807083&doi=10.1441%2f100863&partnerID=40&md5=db5e8c48df4b948fe4e3c7254df33ea4,Review,Final,,Scopus,2-s2.0-85112807083
229,Quandt S.A.; Arnold T.J.; Talton J.W.; Miles C.M.; Mora D.C.; Arcury T.A.; Daniel S.S.,"Quandt, Sara A. (7005921858); Arnold, Taylor J. (57203877920); Talton, Jennifer W. (35338060600); Miles, Christopher M. (56723593400); Mora, Dana C. (55261840200); Arcury, Thomas A. (7005890732); Daniel, Stephanie S. (57202874774)",7005921858; 57203877920; 35338060600; 56723593400; 55261840200; 7005890732; 57202874774,Musculoskeletal injury symptoms among hired Latinx child farmworkers in North Carolina,2021,American Journal of Industrial Medicine,64,7,,620,628,8.0,7,10.1002/ajim.23255,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105956339&doi=10.1002%2fajim.23255&partnerID=40&md5=3b26d10b33c9407fdd53546fe36fc6a1,Article,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85105956339
230,Sana; Jan A.U.,"Sana (57223392464); Jan, Abbas Ullah (57201401321)",57223392464; 57201401321,Role of Child Labor in Agriculture Sector of District Mardan (Pakistan): A Multinomial Logistic Regression Analysis,2021,Sarhad Journal of Agriculture,37,2,,428,435,7.0,2,10.17582/JOURNAL.SJA/2021/37.2.428.435,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105799490&doi=10.17582%2fJOURNAL.SJA%2f2021%2f37.2.428.435&partnerID=40&md5=b078b1b4f8ab59cf9a489c2a582da65b,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85105799490
231,Donado A.,"Donado, Alejandro (55068225100)",55068225100,Why do they JUST DO IT? A Theory of Outsourcing and Working Conditions,2021,Open Economies Review,32,3,,559,586,27.0,0,10.1007/s11079-020-09609-z,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099235144&doi=10.1007%2fs11079-020-09609-z&partnerID=40&md5=fb3d8f47059961bd97eb3d897afc89ae,Article,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85099235144
232,Pocock N.S.; Kiss L.; Dash M.; Mak J.; Zimmerman C.,"Pocock, Nicola Suyin (56562723900); Kiss, Ligia (35092667300); Dash, Mamata (55602980000); Mak, Joelle (55522213700); Zimmerman, Cathy (7103371838)",56562723900; 35092667300; 55602980000; 55522213700; 7103371838,"Challenges to pre-migration interventions to prevent human trafficking: Results from a before-and-after learning assessment of training for prospective female migrants in Odisha, India",2020,PLoS ONE,15,9 September,e0238778,,,,5,10.1371/journal.pone.0238778,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091192507&doi=10.1371%2fjournal.pone.0238778&partnerID=40&md5=412d8423459017fa87eda4f075ea6603,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85091192507
233,Zharkynbayeva R.,"Zharkynbayeva, Roza (57217090542)",57217090542,"Labor Mobilization of Population from Central Asia during World War II: Conscription, Dislocation, and Conditions of Life and Work (on examples from the Kazakh SSR)",2021,Journal of Slavic Military Studies,34,4,,558,579,21.0,0,10.1080/13518046.2022.2040845,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128961805&doi=10.1080%2f13518046.2022.2040845&partnerID=40&md5=6006d5a342fcb5d1783db882e83209d1,Article,Final,,Scopus,2-s2.0-85128961805
234,De La Villa De La Serna D.,"De La Villa De La Serna, Diego (58989677500)",58989677500,ILO Notarial Records; [Los Protocolos de la Organización Internacional de Trabajo],2020,Revista del Ministerio de Trabajo y Economia Social,147,,,143,182,39.0,0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190603452&partnerID=40&md5=371707ac86290374dcfea977180b84e8,Article,Final,,Scopus,2-s2.0-85190603452
235,Selwyn B.,"Selwyn, Benjamin (31067525900)",31067525900,"A green new deal for agriculture: for, within, or against capitalism?",2021,Journal of Peasant Studies,48,4,,778,806,28.0,21,10.1080/03066150.2020.1854740,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100074808&doi=10.1080%2f03066150.2020.1854740&partnerID=40&md5=bc6d0f9deb9b471da7d50887e2b0c313,Article,Final,,Scopus,2-s2.0-85100074808
237,Narchi N.E.; Vanderplank S.E.; Medina-Rodríguez J.; Alfaro-Mercado E.,"Narchi, Nemer E. (55634502100); Vanderplank, Sula E. (56122131800); Medina-Rodríguez, Jesús (57219204716); Alfaro-Mercado, Enrique (57219203094)",55634502100; 56122131800; 57219204716; 57219203094,Environmental Violence and the Socio-environmental (de)Evolution of a Landscape in the San Quintín Valley,2020,Latin American Perspectives,47,6,,103,118,15.0,6,10.1177/0094582X20951774,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091684474&doi=10.1177%2f0094582X20951774&partnerID=40&md5=17284e245ff73ad52a06923daeee3d3a,Article,Final,,Scopus,2-s2.0-85091684474
238,Iqbal M.; Fatmi Z.; Khan K.; Jumani Y.; Amjad N.; Nafees A.,"Iqbal, Meesha (57203886524); Fatmi, Zafar (55959858100); Khan, Kausar (7403177519); Jumani, Yusra (57219221582); Amjad, Neelma (58835846300); Nafees, Asaad (36094632500)",57203886524; 55959858100; 7403177519; 57219221582; 58835846300; 36094632500,"Malnutrition and food insecurity in child labourers in Sindh, Pakistan: A cross-sectional study; [Étude transversale de la malnutrition et de l’insécurité alimentaire chez les enfants travailleurs du Sindh (Pakistan)]",2020,Eastern Mediterranean Health Journal,26,9,,1087,1096,9.0,6,10.26719/emhj.20.040,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091752903&doi=10.26719%2femhj.20.040&partnerID=40&md5=70be915bd3d62d2eb9902300d8104859,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85091752903
239,Mahata S.; Sengupta J.; Nag R.N.,"Mahata, Sushobhan (57223990176); Sengupta, Jonaki (57196041342); Nag, Ranjanendra Narayan (37056258300)",57223990176; 57196041342; 37056258300,Child Labour and Trade-Related Price Policies in a Developing Economy: A Trade-Theoretical Analysis,2021,Indian Journal of Labour Economics,64,3,,685,704,19.0,0,10.1007/s41027-021-00337-7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114769878&doi=10.1007%2fs41027-021-00337-7&partnerID=40&md5=a034ea6303e3ad003bf81e4a8c38c935,Article,Final,,Scopus,2-s2.0-85114769878
240,Musikawong S.; Rzonca P.,"Musikawong, Sudarat (16444594700); Rzonca, Panida (58700191700)",16444594700; 58700191700,Debt bondage in human trafficking: US agriculture and Thailand fisheries primed for labour exploitation; [Niewola za długi: rolnictwo Stanów Zjednoczonych i rybołówstwo Tajlandii gotowe na pracę przymusową],2021,Archiwum Kryminologii,43,1,,169,193,24.0,3,10.7420/AK2021.11,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85172471133&doi=10.7420%2fAK2021.11&partnerID=40&md5=7a1bd86b5bc0c57765092070222c4cfe,Article,Final,,Scopus,2-s2.0-85172471133
